"category__001","category__002","category__003","category__004","name","img_url","brand","short_desc","priority_price","priority_store","num_of_product","num_of_store","lowest_price","highest_price","category__005","category__006"
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  KHÁC","Robot hút bụi thông minh Neato Botvac D85","https://img.sosanhgia.com/images/500x0/d5d0e60c9d1348eda7a669ab532e6e46/robot-hut-bui-thong-minh-neato-botvac-d85.jpeg","KHÁC","-- Công nghệ làm sạch SpinFlow Power Clean \n - Hệ thống chổi hút đa năng\n - Pin Nickel metal hydride dung lượng cao (3600mAh)\n - Khay chứa rác thể tích 0.7L","14.200.000","Lazada","null","null","null","null","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  Ilife","Robot hút bụi lau nhà iLife X660","https://img.sosanhgia.com/images/500x0/450781b9d7e646c6ac1977064bb0284e/robot-hut-bui-lau-nha-ilife-x660.jpeg","Ilife","Công suất dưới 2000W\n Lực hút 900 - 1200 Pa\n Trang bị màn hình LCD, remote\n Thiết kế 2 chổi quét, 1 chổi hút cực mạnh\n Dung lượng pin 2600mAh\n Thời gian hoạt động 300 phút\n Thời gian nạp pin 120 phút\n Phạm vi hoạt động lớn, cải tiến với nhiều cảm biến thông minh chống va đập, rơi rớt cầu thang","5.949.500","Lazada","4","6","650.000","12.999.000","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  KHÁC","Robot hút bụi thông minh Neato Botvac Connected D3","https://img.sosanhgia.com/images/500x0/c2caa7ac60b14d46b82c061545e50fa1/robot-hut-bui-thong-minh-neato-botvac-connected-d3.jpeg","KHÁC"," Thiết kế hình chữ D độc đáo, hút sạch bụi bẩn góc tường\n - Công nghệ LaserSmart Mapping & Navigation\n - Công nghệ làm sạch SpinFlow Power Clean\n - Hệ thống chổi hút đa năng","9.700.000","Lazada","4","4","9.700.000","12.558.905","",""
"Điện lạnh - Điện gia dụng","Gia dụng gia đình","Máy hút bụi","Máy hút bụi  KHÁC","Robot hút bụi thông minh Neato Botvac Connected D5","https://img.sosanhgia.com/images/500x0/c9ecbce8ce4f45d991520d559ada04dd/robot-hut-bui-thong-minh-neato-botvac-connected-d5.jpeg","KHÁC","Thiết kế hình chữ D độc đáo, hút sạch bụi bẩn góc tường\n - Pin Lithium-ion dung lượng cao\n - Khay chứa rác thể tích 0.7L\n - Tích hợp kết nối không dây WiFi\n - Diện tích làm sạch lên đến 418m2","12.500.000","Lazada","9","7","12.255.000","18.990.000","",""
"Máy tính - Thiết bị VP","Laptop","Laptop Asus","","Laptop Asus 14 X409FA-EK199T","https://img.sosanhgia.com/images/500x0/c3290f21ec604be3bf3d48b5efbef350/laptop-asus-14-x409faek199t.jpeg","Asus","","11.999.000","Sendo","10","5","11.999.000","12.390.000","",""
"Máy tính - Thiết bị VP","Laptop","Laptop Asus","","Laptop ASUS 15 X509FJ-EJ155T","https://img.sosanhgia.com/images/500x0/2424eacefc2c4a9d83ccc6451a8bc58c/laptop-asus-15-x509fjej155t.jpeg","Asus","","14.600.000","Shopee","10","9","13.999.000","15.890.000","",""
"Kỹ thuật số","Tai nghe","Tai nghe Bluedio","","Tai nghe bluetooth Bluedio DF7","https://img.sosanhgia.com/images/500x0/ed655d7428934680a0712852d8f8a5ee/tai-nghe-bluetooth-bluedio-df7.jpg","Bluedio","Loa trở kháng: 16Ω\n\nĐộ nhạy: 110dB\n\nKhoảng cách hoạt động: 10m\n\nTần số đáp ứng: 20-20KHz","355.000","Shopee","null","null","null","null","",""
"Máy tính - Thiết bị VP","Phụ kiện máy tính","Phụ kiện máy tính  HyperDrive","","Cổng chuyển HyperDrive NET 6-in-2 Hub for USB-C MacBook PRO and MacBook Air 2018","https://img.sosanhgia.com/images/500x0/41e33295486c4f6dabd1b2d7137769c9/cong-chuyen-hyperdrive-net-6-in-2-hub-for-usb-c-macbook-pro-and-macbook-air-2018.jpeg","HyperDrive","Hyperdrive NET 6 in 1 hỗ trợ xuất từ cổng thunderbolt 3 của Macbook Pro ra 6 cổng:\n – 2 x USB-C (100W + 60W) PD/ Data/ Video\n – 1 x HDMI 4K\n – 1 x Gigabit Ethernet\n – 2 x USb Type A","2.140.000","Tiki","24","6","2.140.000","2.450.000","",""
"Kỹ thuật số","Tai nghe","Tai nghe Bluedio","","Tai nghe bluetooth BLUEDIO 57","https://img.sosanhgia.com/images/500x0/479b9ef281b24eb4a5b387916a05a69e/tai-nghe-bluetooth-bluedio-57.jpg","Bluedio","Bluetooth phiên bản: V4.1\n\nKhoảng cách hoạt động: lên tới 10m\n\nTrở kháng: 16Ω\n\nĐáp ứng tần số: 20Hz-20kHz\n\nĐộ nhạy: 110dB","339.000","Shopee","3","399","000","495.000","",""
"Máy tính - Thiết bị VP","Thiết bị mạng","Card mạng","Card mạng  Asus","Card mạng Wifi Asus PCE-AX58BT","https://img.sosanhgia.com/images/500x0/fed7ca2ff51d4a1ead623a734b04227d/card-mang-wifi-asus-pceax58bt.jpeg","Asus","Cổng giao tiếp: PCI\n Chuẩn wifi: a/b/g/n/ax\n Băng tần kép: 2.4GHz và 5GHz\n Tốc độ: 2402Mbps+574Mbps","1.890.000","Tiki","6","6","1.500.000","1.990.000","",""
"Thiết bị di động","Máy tính bảng","IPad","","Apple iPad Wifi 32GB 4G 2017 9.7inch","https://img.sosanhgia.com/images/500x0/3676b2a1e41841aa959e9b2dce69d943/apple-ipad-wifi-32gb-4g-2017-97inch.jpg","Apple","Màn hình: Retina 9.7inch\nCPU: Apple A9, Dual-core 1.84 GHz\nBộ nhớ: 32GB\nKết nối: Wifi, 3G, 4G\nCamera: 8 MP","9.989.000","Lazada","3","2","9.989.000","10.898.119","",""
