id,cate,title,lead,time,tag
665581,Thời sự,Đề xuất cho người dân tự bán rác thải để có động lực phân loại,"Tổng thư ký Quốc hội Nguyễn Hạnh Phúc đề xuất, phải cho người dân tự bán rác thải thì họ mới có động lực phân loại.",12-08-2020,"['Nguyễn Hạnh Phúc', 'rác thải', 'luật Bảo vệ môi trường sửa đổi']"
667141,Thế giới,Bộ trưởng Nội vụ Philippines tái mắc Covid-19 sau 5 tháng,"Bộ trưởng Nội vụ Philippines Eduardo Año xác nhận, ông vừa được chẩn đoán tái dương tính với Covid-19 sau lần đầu mắc bệnh cách đây 5 tháng.",17-08-2020,"['virus corona', 'Philippines', 'COVID-19']"
667156,Sức khỏe,Điều dưỡng ở Đà Nẵng 5 lần xét nghiệm mới dương tính Covid-19,Lần đầu tiên Việt Nam ghi nhận trường hợp bệnh nhân Covid-19 sau 5 lần xét nghiệm mới khẳng định dương tính.,17-08-2020,"['COVID-19', 'virus corona', 'xét nghiệm Covid-19']"
665531,Thời sự,Đề nghị quy định chặt chẽ hơn việc công nhận liệt sĩ thời bình,"Bộ trưởng LĐ-TB-XH Đào Ngọc Dung cho biết, trong 4 nội dung Chính phủ xin ý kiến UB Thường vụ Quốc hội có việc siết chặt công nhận liệt sĩ thời bình.",11-08-2020,"['đào ngọc dung', 'liệt sĩ']"
666207,Kinh Doanh,"Đối mặt khó khăn, Trung Quốc cảnh báo nguy cơ khủng hoảng","Chủ tịch Trung Quốc Tập Cận Bình vừa đưa ra lời cảnh bảo về nguy cơ khủng hoảng lương thực trong bối cảnh lụt lội, đại dịch Covid-19 và cuộc chiến thương mại với chính quyền ông Donald Trump kéo dài.",17-08-2020,"['Trung Quốc', 'Donald Trump', 'COVID-19', 'an ninh lương thực', 'chiến tranh thương mại']"
666134,Thời sự,Khởi động trang thông tin điện tử Năm Chủ tịch AIPA 2020,Trang thông tin điện tử hỗ trợ Quốc hội Việt Nam tổ chức Đại hội đồng AIPA 41 theo hình thức trực tuyến.,13-08-2020,"['Quốc hội', 'Nguyễn Thị Kim Ngân', 'AIPA 2020']"
667164,Sức khỏe,"Hà Nội, Hải Dương thêm 5 ca Covid-19, cả nước có 976 ca","Bộ Y tế chiều 17/8 cho biết, Việt Nam ghi nhận thêm 12 ca mắc Covid-19 mới tại các Hà Nội, Hải Dương và Đà Nẵng.",17-08-2020,"['COVID-19', 'virus corona']"
667133,Giáo dục,Sở Giáo dục Hà Nội hủy kết quả trúng tuyển viên chức của 4 thí sinh,Sở GD-ĐT Hà Nội vừa có quyết định hủy kết quả trúng tuyển đối với 4 thí sinh do không hoàn thiện đủ hồ sơ dự tuyển kỳ thi tuyển viên chức làm việc tại các cơ sở giáo dục công lập trực thuộc Sở năm 2019.,17-08-2020,['giáo viên']
666844,Thời sự,"Từ đêm nay, các tỉnh miền Bắc có mưa rất to đến đặc biệt to","Từ đêm nay (16/8), các tỉnh miền Bắc có mưa to đến đặc biệt to. Trọng tâm của đợt mưa tập trung từ đêm nay đến đêm 18/8.",16-08-2020,"['thời tiết thủ đô', 'dự báo thời tiết', 'thời tiết ngày mai']"
666236,Thời sự,"Chiếm 3.000 m2 đất công, Chủ tịch xã ở Thanh Hóa bị khởi tố","Công an Thanh Hóa vừa khởi tố bị can đối với Chủ tịch, cán bộ địa chính UBND xã Hà Vinh, huyện Hà Trung (Thanh Hóa) và một trưởng thôn về hành vi “Lợi dụng chức vụ quyền hạn trong thi hành công vụ”.",14-08-2020,"['Thanh Hóa', 'chiếm đất', 'Hồ sơ khống']"
667036,Thời sự,"Ban Bí thư chỉ định, chuẩn y nhân sự Công an nhân dân","Hà Giang, Nghệ An, Ủy ban Kiểm tra Đảng ủy Công an TƯ đã công bố và trao các quyết định của Ban Bí thư Trung ương Đảng về công tác cán bộ.",17-08-2020,"['Nghệ An', 'nhân sự', 'công an', 'Hà Giang']"
